2026-08-28 21:26:54,056 | INFO | src.pipeline | Building the HR Assistant
2026-08-28 21:26:54,059 | INFO | src.pipeline | Vector store already exists on disk, loading it
2026-08-28 21:26:54,060 | INFO | src.vector_store | Loading FAISS index from 'data\faiss_index'
2026-08-28 21:26:54,060 | INFO | src.embeddings | Initializing the embeddings model 'jina-embeddings-v2-base-en'
2026-08-28 21:26:54,062 | INFO | src.embeddings | Loaded embeddings model
2026-08-28 21:26:54,072 | INFO | faiss.loader | Loading faiss with AVX2 support.
2026-08-28 21:26:54,083 | INFO | faiss.loader | Could not load library with AVX2 support due to:
ModuleNotFoundError("No module named 'faiss.swigfaiss_avx2'")
2026-08-28 21:26:54,102 | INFO | faiss.loader | Loading faiss.
2026-08-28 21:26:54,716 | INFO | faiss.loader | Successfully loaded faiss.
2026-08-28 21:26:54,800 | INFO | src.vector_store | Creating a retriever with top_k=3
2026-08-28 21:26:54,808 | INFO | src.llm | Initializing LLM 'openai/gpt-oss-20b'
2026-08-28 21:26:55,682 | INFO | src.agent | Creating HR agent with 1 tool(s)
2026-08-28 21:26:55,770 | INFO | src.agent | HR agent is ready
2026-08-28 21:26:55,771 | INFO | src.pipeline | HR assistant is ready to take questions
2026-08-28 21:29:27,199 | INFO | __main__ | *** Streamlit run: new question received
2026-08-28 21:29:27,203 | INFO | src.pipeline | User question: hello
2026-08-28 21:29:27,872 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-28 21:29:27,924 | INFO | src.pipeline | Final answer: Hello! 👋 How can I help you today?
