2026-09-12 17:15:58,258 | INFO | src.pipeline | Building the HR Assistant
2026-09-12 17:15:58,260 | INFO | src.tracing | LangSmith tracing ENABLED - project 'HR ASSISTANT', traces at https://smith.langchain.com
2026-09-12 17:15:58,874 | INFO | httpx | HTTP Request: GET https://4d73c1a7-7cb5-47df-8af5-1d090b5f01d4.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_assistant/exists "HTTP/1.1 200 OK"
2026-09-12 17:15:58,878 | INFO | src.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 17:15:58,879 | INFO | src.vector_store | Connecting to existing Qdrant collection 'hr_assistant'
2026-09-12 17:15:58,883 | INFO | src.embeddings | Initializing the embeddings model 'jina-embeddings-v2-base-en'
2026-09-12 17:15:58,884 | INFO | src.embeddings | Loaded embeddings model
2026-09-12 17:15:58,899 | INFO | httpx | HTTP Request: GET https://4d73c1a7-7cb5-47df-8af5-1d090b5f01d4.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 17:15:59,490 | INFO | httpx | HTTP Request: GET https://4d73c1a7-7cb5-47df-8af5-1d090b5f01d4.eu-west-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 17:15:59,491 | INFO | httpx | HTTP Request: GET https://4d73c1a7-7cb5-47df-8af5-1d090b5f01d4.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_assistant "HTTP/1.1 200 OK"
2026-09-12 17:16:03,710 | INFO | src.vector_store | Creating a retriever with top_k=3
2026-09-12 17:16:03,715 | INFO | src.llm | Initializing LLM via PORTKEY
2026-09-12 17:16:03,716 | INFO | src.gateway | Routing LLM calls through Portkey (provider=@hrpolicy)
2026-09-12 17:16:04,738 | INFO | src.agent | Creating HR agent with 1 tool(s)
2026-09-12 17:16:04,749 | INFO | src.agent | HR agent is ready
2026-09-12 17:16:04,749 | INFO | src.pipeline | HR assistant is ready to take questions
2026-09-12 17:16:08,197 | INFO | __main__ | *** Streamlit run: new question received
2026-09-12 17:16:08,201 | INFO | src.pipeline | User question: hi
2026-09-12 17:16:08,737 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-12 17:16:09,813 | INFO | httpx | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 400 Bad Request"
